# This is a table giving the metadata for the allwise data release,
# in STIL ASCII format, with blank values represented by "---".
#
# Data files matching this format can be found at;
#    http://irsadist.ipac.caltech.edu/wise-allwise/
#
# Metadata was taken from:
#
#    http://irsadist.ipac.caltech.edu/wise-allwise/wise-allwise-cat-schema.txt
#       - column names and types
#
#    http://wise2.ipac.caltech.edu/docs/release/allwise/expsup/sec2_1a.html
#       - column units and nullability
#
# Gordon Richards (Drexel) contributed FITS-friendly (69-character)
# description text for each column culled from the sec2_1a file as well.
#
#
# name            type            unit       hasnull   col1
  w1flg_3         integer         ----       yes       "W1 11.0\" radius aperture magnitude quality flag"
  w2mag_3         decimal(5,3)    mag        yes       "W2 11.0\" radius aperture magnitude"
  w2sigm_3        decimal(4,3)    mag        yes       "Uncertainty in the W2 11.0\" radius aperture magnitude"
  w2flg_3         integer         ----       yes       "W2 11.0\" radius aperture magnitude quality flag"
  w3mag_3         decimal(5,3)    mag        yes       "W3 11.0\" radius aperture magnitude"
  w3sigm_3        decimal(4,3)    mag        yes       "Uncertainty in the W3 11.0\" radius aperture magnitude"
  w3flg_3         integer         ----       yes       "W3 11.0\" radius aperture magnitude quality flag"
  w4mag_3         decimal(5,3)    mag        yes       "W4 22.0\" radius aperture magnitude"
  w4sigm_3        decimal(4,3)    mag        yes       "Uncertainty in the W4 22.0\" radius aperture magnitude"
  w4flg_3         integer         ----       yes       "W4 22.0\" radius aperture magnitude quality flag"
  w1mag_4         decimal(5,3)    mag        yes       "W1 13.75\" radius aperture magnitude"
  w1sigm_4        decimal(4,3)    mag        yes       "Uncertainty in the W1 13.75\" radius aperture magnitude"
  w1flg_4         integer         ----       yes       "W1 13.75\" radius aperture magnitude quality flag"
  w2mag_4         decimal(5,3)    mag        yes       "W2 13.75\" radius aperture magnitude"
  w2sigm_4        decimal(4,3)    mag        yes       "Uncertainty in the W2 13.75\" radius aperture magnitude"
  w2flg_4         integer         ----       yes       "W2 13.75\" radius aperture magnitude quality flag"
  w3mag_4         decimal(5,3)    mag        yes       "W3 13.75\" radius aperture magnitude"
  w3sigm_4        decimal(4,3)    mag        yes       "Uncertainty in the W3 13.75\" radius aperture magnitude"
  w3flg_4         integer         ----       yes       "W3 13.75\" radius aperture magnitude quality flag"
  w4mag_4         decimal(5,3)    mag        yes       "W4 27.5\" radius aperture magnitude"
  w4sigm_4        decimal(4,3)    mag        yes       "Uncertainty in the W4 27.5\" radius aperture magnitude"
  w4flg_4         integer         ----       yes       "W4 27.5\" radius aperture magnitude quality flag"
  w1mag_5         decimal(5,3)    mag        yes       "W1 16.5\" radius aperture magnitude"
  w1sigm_5        decimal(4,3)    mag        yes       "Uncertainty in the W1 16.5\" radius aperture magnitude"
  w1flg_5         integer         ----       yes       "W1 16.5\" radius aperture magnitude quality flag"
  w2mag_5         decimal(5,3)    mag        yes       "W2 16.5\" radius aperture magnitude"
  w2sigm_5        decimal(4,3)    mag        yes       "Uncertainty in the W2 16.5\" radius aperture magnitude"
  w2flg_5         integer         ----       yes       "W2 16.5\" radius aperture magnitude quality flag"
  w3mag_5         decimal(5,3)    mag        yes       "W3 16.5\" radius aperture magnitude"
  w3sigm_5        decimal(4,3)    mag        yes       "Uncertainty in the W3 16.5\" radius aperture magnitude"
  w3flg_5         integer         ----       yes       "W3 16.5\" radius aperture magnitude quality flag"
  w4mag_5         decimal(5,3)    mag        yes       "W4 33.0\" radius aperture magnitude"
  w4sigm_5        decimal(4,3)    mag        yes       "Uncertainty in the W4 33.0\" radius aperture magnitude"
  w4flg_5         integer         ----       yes       "W4 33.0\" radius aperture magnitude quality flag"
  w1mag_6         decimal(5,3)    mag        yes       "W1 19.25\" radius aperture magnitude"
  w1sigm_6        decimal(4,3)    mag        yes       "Uncertainty in the W1 19.25\" radius aperture magnitude"
  w1flg_6         integer         ----       yes       "W1 19.25\" radius aperture magnitude quality flag"
  w2mag_6         decimal(5,3)    mag        yes       "W2 19.25\" radius aperture magnitude"
  w2sigm_6        decimal(4,3)    mag        yes       "Uncertainty in the W2 19.25\" radius aperture magnitude"
  w2flg_6         integer         ----       yes       "W2 19.25\" radius aperture magnitude quality flag "
  w3mag_6         decimal(5,3)    mag        yes       "W3 19.25\" radius aperture magnitude"
  w3sigm_6        decimal(4,3)    mag        yes       "Uncertainty in the W3 19.25\" radius aperture magnitude"
  w3flg_6         integer         ----       yes       "W3 19.25\" radius aperture magnitude quality flag"
  w4mag_6         decimal(5,3)    mag        yes       "W4 38.5\" radius aperture magnitude"
  w4sigm_6        decimal(4,3)    mag        yes       "Uncertainty in the W4 38.5\" radius aperture magnitude"
  w4flg_6         integer         ----       yes       "W4 38.5\" radius aperture magnitude quality flag"
  w1mag_7         decimal(5,3)    mag        yes       "W1 22.0\" radius aperture magnitude"
  w1sigm_7        decimal(4,3)    mag        yes       "Uncertainty in the W1 22.0\" radius aperture magnitude"
  w1flg_7         integer         ----       yes       "W1 22.0\" radius aperture magnitude quality flag"
  w2mag_7         decimal(5,3)    mag        yes       "W2 22.0\" radius aperture magnitude"
  w2sigm_7        decimal(4,3)    mag        yes       "Uncertainty in the W2 22.0\" radius aperture magnitude"
  w2flg_7         integer         ----       yes       "W2 22.0\" radius aperture magnitude quality flag"
  w3mag_7         decimal(5,3)    mag        yes       "W3 22.0\" radius aperture magnitude"
  w3sigm_7        decimal(4,3)    mag        yes       "Uncertainty in the W3 22.0\" radius aperture magnitude"
  w3flg_7         integer         ----       yes       "W3 22.0\" radius aperture magnitude quality flag"
  w4mag_7         decimal(5,3)    mag        yes       "W4 44.0\" radius aperture magnitude"
  w4sigm_7        decimal(4,3)    mag        yes       "Uncertainty in the W4 44.0\" radius aperture magnitude"
  w4flg_7         integer         ----       yes       "W4 44.0\" radius aperture magnitude quality flag"
  w1mag_8         decimal(5,3)    mag        yes       "W1 24.75\" radius aperture magnitude"
  w1sigm_8        decimal(4,3)    mag        yes       "Uncertainty in the W1 24.75\" radius aperture magnitude"
  w1flg_8         integer         ----       yes       "W1 24.75\" radius aperture magnitude quality flag"
  w2mag_8         decimal(5,3)    mag        yes       "W2 24.75\" radius aperture magnitude"
  w2sigm_8        decimal(4,3)    mag        yes       "Uncertainty in the W2 24.75\" radius aperture magnitude"
  w2flg_8         integer         ----       yes       "W2 24.75\" radius aperture magnitude quality flag"
  w3mag_8         decimal(5,3)    mag        yes       "W3 24.75\" radius aperture magnitude"
  w3sigm_8        decimal(4,3)    mag        yes       "Uncertainty in the W3 24.75\" radius aperture magnitude"
  w3flg_8         integer         ----       yes       "W3 24.75\" radius aperture magnitude quality flag"
  w4mag_8         decimal(5,3)    mag        yes       "W4 49.5\" radius aperture magnitude"
  w4sigm_8        decimal(4,3)    mag        yes       "Uncertainty in the W4 49.5\" radius aperture magnitude"
  w4flg_8         integer         ----       yes       "W4 49.5\" radius aperture magnitude quality flag"
  w1magp          decimal(5,3)    mag        yes       "W1 weighted mean profile mag (see expsup/sec2_1a.html for caution)"
